Series id,Year,Period,Value,MoYr
LNS14000000,1972,Jun,5.7,1972-06-01
LNS14000000,1972,Jul,5.6,1972-07-01
LNS14000000,1972,Aug,5.6,1972-08-01
LNS14000000,1972,Sep,5.5,1972-09-01
LNS14000000,1972,Oct,5.6,1972-10-01
LNS14000000,1972,Nov,5.3,1972-11-01
LNS14000000,1972,Dec,5.2,1972-12-01
LNS14000000,1973,Jan,4.9,1973-01-01
LNS14000000,1973,Feb,5.0,1973-02-01
LNS14000000,1973,Mar,4.9,1973-03-01
LNS14000000,1973,Apr,5.0,1973-04-01
LNS14000000,1973,May,4.9,1973-05-01
LNS14000000,1973,Jun,4.9,1973-06-01
LNS14000000,1973,Jul,4.8,1973-07-01
LNS14000000,1973,Aug,4.8,1973-08-01
LNS14000000,1973,Sep,4.8,1973-09-01
LNS14000000,1973,Oct,4.6,1973-10-01
LNS14000000,1973,Nov,4.8,1973-11-01
LNS14000000,1973,Dec,4.9,1973-12-01
LNS14000000,1974,Jan,5.1,1974-01-01
LNS14000000,1974,Feb,5.2,1974-02-01
LNS14000000,1974,Mar,5.1,1974-03-01
LNS14000000,1974,Apr,5.1,1974-04-01
LNS14000000,1974,May,5.1,1974-05-01
LNS14000000,1974,Jun,5.4,1974-06-01
LNS14000000,1974,Jul,5.5,1974-07-01
LNS14000000,1974,Aug,5.5,1974-08-01
LNS14000000,1974,Sep,5.9,1974-09-01
LNS14000000,1974,Oct,6.0,1974-10-01
LNS14000000,1974,Nov,6.6,1974-11-01
LNS14000000,1974,Dec,7.2,1974-12-01
LNS14000000,1975,Jan,8.1,1975-01-01
LNS14000000,1975,Feb,8.1,1975-02-01
LNS14000000,1975,Mar,8.6,1975-03-01
LNS14000000,1975,Apr,8.8,1975-04-01
LNS14000000,1975,May,9.0,1975-05-01
LNS14000000,1975,Jun,8.8,1975-06-01
LNS14000000,1975,Jul,8.6,1975-07-01
LNS14000000,1975,Aug,8.4,1975-08-01
LNS14000000,1975,Sep,8.4,1975-09-01
LNS14000000,1975,Oct,8.4,1975-10-01
LNS14000000,1975,Nov,8.3,1975-11-01
LNS14000000,1975,Dec,8.2,1975-12-01
LNS14000000,1976,Jan,7.9,1976-01-01
LNS14000000,1976,Feb,7.7,1976-02-01
LNS14000000,1976,Mar,7.6,1976-03-01
LNS14000000,1976,Apr,7.7,1976-04-01
LNS14000000,1976,May,7.4,1976-05-01
LNS14000000,1976,Jun,7.6,1976-06-01
LNS14000000,1976,Jul,7.8,1976-07-01
LNS14000000,1976,Aug,7.8,1976-08-01
LNS14000000,1976,Sep,7.6,1976-09-01
LNS14000000,1976,Oct,7.7,1976-10-01
LNS14000000,1976,Nov,7.8,1976-11-01
LNS14000000,1976,Dec,7.8,1976-12-01
LNS14000000,1977,Jan,7.5,1977-01-01
LNS14000000,1977,Feb,7.6,1977-02-01
LNS14000000,1977,Mar,7.4,1977-03-01
LNS14000000,1977,Apr,7.2,1977-04-01
LNS14000000,1977,May,7.0,1977-05-01
LNS14000000,1977,Jun,7.2,1977-06-01
LNS14000000,1977,Jul,6.9,1977-07-01
LNS14000000,1977,Aug,7.0,1977-08-01
